Distance,Gray_Value
0,2387.636
0.1315,2457.504
0.263,2081.322
0.3945,2385.807
0.526,2946.196
0.6575,3480.185
0.789,4079.006
0.9205,6232.703
1.052,11524.605
1.1835,21210.547
1.315,24684.174
1.4465,21449.445
1.578,19776.146
1.7095,20650.248
1.841,15750.481
1.9725,7087.562
2.104,2682.256
2.2355,1314.446
2.367,633.261
2.4985,619.949
2.63,928.792
2.7615,1063.87
2.893,1240.326
3.0245,1400.419
3.156,1260.965
3.2875,1051.458
3.419,1030.347
3.5505,1264.299
3.682,1165.341
3.8135,1057.965
3.945,1724.017
4.0765,3931.643
4.208,4395.311
4.3395,3274.364
4.471,2240.059
4.6025,1413.48
4.734,1546.162
4.8655,1164.173
4.997,666.568
5.1285,825.039
5.26,1243.753
5.3915,1110.973
5.523,917.193
5.6545,911.443
5.786,1320.5
5.9175,1231.218
6.049,1095.035
6.1805,1815.064
6.312,3058.516
6.4435,3423.777
6.575,1985.136
6.7065,1320.478
6.838,1352.558
6.9695,1248.481
7.101,971.441
7.2325,548.301
7.364,446.211
7.4955,502.252
7.627,987.3
7.7585,1311.476
7.89,1637.235
8.0215,2365.499
8.153,3424.619
8.2845,3420.329
8.416,3902.211
8.5475,4743.283
8.679,3795.78
8.8105,1903.965
8.942,1524.902
9.0735,1399.367
9.205,934.617
9.3365,797.678
9.468,550.927
9.5995,827.197
9.731,1094.178
9.8625,1948.316
9.994,2485.785
10.1255,2923.427
10.257,2627.026
10.3885,2538.704
10.52,2120.745
10.6515,2290.57
10.783,4201.614
10.9145,6257.168
11.046,6474.803
11.1775,5278.479
11.309,4155.368
11.4405,3944.503
11.572,3321.65
11.7035,2734.75
11.835,2249.636
11.9665,1933.953
12.098,2486.522
12.2295,2113.427
12.361,2161.975
12.4925,2593.132
12.624,3463.354
12.7555,3418.611
12.887,2901.833
13.0185,2257.762
13.15,2511.461
13.2815,2527.871
13.413,2219.38
13.5445,2253.975
13.676,2153.564
13.8075,2089.302
13.939,1802.802
14.0705,2080.736
14.202,2564.415
14.3335,3459.304
14.465,5276.091
14.5965,6993.925
14.728,12462.854
14.8595,18603.357
14.991,15934.848
15.1225,11430.323
15.254,7613.688
15.3855,7822.017
15.517,8158.868
15.6485,7143.562
15.78,6522.136
15.9115,7468.848
16.043,9600.871
16.1745,8930.719
16.306,5551.626
16.4375,4927.513
16.569,6489.663
16.7005,7738.85
16.832,5683.543
16.9635,3113.123
17.095,2758.794
17.2265,3693.334
17.358,4102.458
17.4895,3516.198
17.621,2684.13
17.7525,2118.826
17.884,2160.006
18.0155,3740.183
18.147,4485.869
18.2785,4201.863
18.41,3104.709
18.5415,2796.336
18.673,3808.522
18.8045,5922.424
18.936,7413.264
19.0675,5959.064
19.199,4860.596
19.3305,5258.036
19.462,5617.783
19.5935,6866.054
19.725,7434.332
19.8565,7057.227
19.988,8017.475
20.1195,10824.466
20.251,13767.371
