Distance,Gray_Value
0,5877.539
0.1315,5885.113
0.263,4945.794
0.3945,4240.744
0.526,4042.593
0.6575,4255.963
0.789,4250.073
0.9205,4609.361
1.052,5743.428
1.1835,5838.281
1.315,4764.593
1.4465,3852.108
1.578,3635.768
1.7095,4170.504
1.841,5572.034
1.9725,6731.495
2.104,5870.613
2.2355,6240.383
2.367,8768.505
2.4985,12142.973
2.63,10484.696
2.7615,6556.632
2.893,7581.388
3.0245,8739.799
3.156,10204.261
3.2875,16948.719
3.419,26770.518
3.5505,24918.006
3.682,18300.262
3.8135,17903.281
3.945,16166.186
4.0765,10513.639
4.208,6375.403
4.3395,5460.383
4.471,4949.443
4.6025,4773.658
4.734,5986.46
4.8655,6708.64
4.997,6443.149
5.1285,6051.768
5.26,6914.156
5.3915,7771.991
5.523,7485.833
5.6545,6039.199
5.786,4049.951
5.9175,4101.409
6.049,4093.315
6.1805,3931.523
6.312,4063.064
6.4435,4252.577
6.575,4473.47
6.7065,4664.028
6.838,7109.727
6.9695,16369.98
7.101,27700.736
7.2325,23278.875
7.364,12486.477
7.4955,7419.729
7.627,6730.611
7.7585,6283.43
7.89,5125.957
8.0215,4304.817
8.153,4215.391
8.2845,4561.347
8.416,5188.063
8.5475,5407.297
8.679,4545.824
8.8105,3900.371
8.942,3644.255
9.0735,3790.174
9.205,4153.168
9.3365,4078.326
9.468,3834.802
9.5995,3923.398
9.731,4013.364
9.8625,3901.823
9.994,4335.892
10.1255,4899.711
10.257,4225.943
10.3885,4312.157
10.52,5091.005
10.6515,7519.993
10.783,8794.4
10.9145,9669.651
11.046,10365.44
11.1775,11220.849
11.309,10564.152
11.4405,10741.356
11.572,10006.236
11.7035,9425.607
11.835,9264.923
11.9665,8489.903
12.098,7724.824
12.2295,7179.485
12.361,7121.695
12.4925,6819.64
12.624,5843.812
12.7555,5286.682
12.887,4772.61
13.0185,4400.483
13.15,4991.142
13.2815,5460.69
13.413,5801.437
13.5445,6754.918
13.676,6150.64
13.8075,6721.181
13.939,7635.438
14.0705,8335.141
14.202,7968.314
14.3335,8007.141
14.465,7492.812
14.5965,6064.442
14.728,5350.816
14.8595,5496.662
14.991,5946.947
15.1225,5972.592
15.254,6194.035
15.3855,6264.307
15.517,7117.688
15.6485,7779.888
15.78,7803.228
15.9115,8630.033
16.043,14239.13
16.1745,28258.076
16.306,33979.832
16.4375,36003.625
16.569,29167.301
16.7005,16878.973
16.832,12006.375
16.9635,9717.764
17.095,9168.316
17.2265,8916.789
17.358,9442.581
17.4895,10089.256
17.621,10966.562
17.7525,11582.908
17.884,9550.38
18.0155,9302.15
18.147,12060.092
18.2785,19291.484
18.41,26960.061
18.5415,25169.906
18.673,16426.023
18.8045,10583.085
18.936,10154.196
19.0675,10484.385
19.199,9761.454
19.3305,10278.159
19.462,10891.134
19.5935,10524.189
19.725,8527.22
19.8565,7824.389
19.988,7892.713
20.1195,8467.54
20.251,10134.652
20.3825,18013.229
20.514,30724.863
20.6455,34009.82
20.777,22882.549
20.9085,12359.005
21.04,11140.738
21.1715,14551.367
21.303,15892.82
21.4345,13030.596
21.566,10013.426
21.6975,8164.997
21.829,7327.841
21.9605,7878.417
22.092,7394.98
22.2235,6960.392
22.355,6488.296
22.4865,5144.13
22.618,4639.091
22.7495,4494.257
22.881,3952.856
23.0125,3205.6
23.144,2991.716
23.2755,2676.767
23.407,2667.352
23.5385,3411.489
23.67,3705.725
23.8015,5150.588
23.933,4791.453
24.0645,4274.863
24.196,4038.536
24.3275,4157.291
24.459,4168.587
24.5905,5392.102
24.722,7420.703
24.8535,6572.469
24.985,6720.286
25.1165,7015.39
25.248,8736.932
25.3795,11281.904
25.511,14400.293
25.6425,22864.775
25.774,35577.801
25.9055,40911.906
26.037,37671.723
26.1685,27201.053
26.3,18348.904
26.4315,11774.104
26.563,9144.969
26.6945,10439.178
26.826,11726.391
26.9575,15937.207
27.089,14722.142
27.2205,13465.435
27.352,11051.291
27.4835,9549.232
27.615,12227.907
27.7465,16348.166
27.878,17216.633
28.0095,14435.052
28.141,11515.407
28.2725,9867.762
28.404,9139.886
28.5355,8888.161
28.667,8383.449
28.7985,7458.404
28.93,7266.573
29.0615,7130.126
29.193,8231.711
29.3245,9193.292
29.456,10154.538
29.5875,11022.512
29.719,14269.025
29.8505,22811.248
29.982,29749.072
30.1135,25616.861
30.245,14482.753
30.3765,9615.632
30.508,8809.489
30.6395,9849.766
30.771,11466.048
30.9025,12727.131
31.034,14561.79
31.1655,11104.318
31.297,7772.104
31.4285,6043.23
31.56,5147.398
31.6915,5259.052
31.823,4885.508
31.9545,4363.236
32.086,5661.417
32.2175,8016.241
32.349,10866.84
32.4805,10182.636
32.612,8785.968
32.7435,7919.463
32.875,7170.178
33.0065,7936.783
33.138,8722.589
33.2695,9200.919
33.401,9061.404
33.5325,8035.781
33.664,7209.365
33.7955,6567.353
33.927,6644.557
34.0585,5909.951
34.19,5651.003
34.3215,5768.957
34.453,5604.844
34.5845,4765.58
34.716,4458.463
34.8475,5063.978
34.979,5241.859
35.1105,5629.582
35.242,5444.033
35.3735,5892.575
35.505,5289.806
35.6365,5432.147
35.768,5805.518
35.8995,6783.21
36.031,7673.276
36.1625,9861.18
36.294,14451.569
36.4255,23593.67
36.557,30299.24
36.6885,26344.443
36.82,15043.725
36.9515,8818.586
37.083,6611.257
37.2145,6071.62
37.346,6179.112
37.4775,7236.917
37.609,8131.986
37.7405,8738.333
37.872,9317.892
38.0035,9913.729
38.135,9165.18
38.2665,8183.247
38.398,7268.538
38.5295,8388.92
38.661,9645.277
38.7925,9505.201
38.924,8634.296
39.0555,7500.31
39.187,8206.924
39.3185,9052.19
39.45,9004.978
39.5815,8189.937
39.713,8291.248
39.8445,7636.972
39.976,6771.812
