Offset1,Offset2,Offset3,Offset4,Offset5,Offset6,Offset7,Offset8,Offset9
1.315,0.9205,0.1315,0.1315,0.1315,1.7095,0,0.9205,0
0.3945,1.7095,0.263,0,0.79,0,0.3945,0.263,0
0,0,0.526,0.9205,0,0.526,0.6575,0.1315,0
0.789,0.1315,0.6575,0.263,0.1315,0.1315,0.263,0,1.315
0.6575,0,0.1315,0.6575,0.263,1.052,0.1315,0.9205,0.263
0.263,0.3945,0.6575,0.6575,0.526,0.263,0.263,0.789,0.526
0.263,0.1315,0.9205,1.1835,0.9205,0.6575,0,0.1315,0.526
0.526,0.263,0.265,0,0.1315,0.263,1.315,0,0.526
0,0.526,0.1315,0.9205,0,1.052,1.4465,0,0.789
0.9205,0.526,0.263,0.263,1.052,1.315,0.1315,0.79,0.263
0.1315,0,1.052,0.5255,,1.1835,1.7095,1.1835,0.9205
1.315,1.052,0,,,0.263,0.1315,0.263,1.578
0,0.1315,0.9205,,,1.1835,0.1315,0.789,0.526
0,0.263,0.526,,,0.263,0.263,0.263,0
0.263,0.6575,0.6964,,,0.526,0.526,0.6575,0.1315
,,1.052,,,,0.1315,0.6575,
,,,,,,0.1315,0.9205,
,,,,,,1.4465,0.3945,
,,,,,,0,0,
,,,,,,0.1315,,
