Distance,Gray_Value
0,113.423
0.1315,310.966
0.263,236.215
0.3945,299.395
0.526,468.84
0.6575,372.888
0.789,524.964
0.9205,1029.576
1.052,2195.692
1.1835,2417.802
1.315,1448.663
1.4465,1375.318
1.578,765.174
1.7095,405.943
1.841,239.181
1.9725,124.632
2.104,97.202
2.2355,478.65
2.367,286.643
2.4985,141.068
2.63,296.012
2.7615,742.09
2.893,932.542
3.0245,882.81
3.156,508.097
3.2875,209.754
3.419,311.46
3.5505,225.819
3.682,99.959
3.8135,185.683
3.945,210.841
4.0765,91.765
4.208,118.364
4.3395,21.718
4.471,161.217
4.6025,262.128
4.734,242.628
4.8655,194.371
4.997,135.267
5.1285,71.601
5.26,167.524
5.3915,179.613
5.523,264.306
5.6545,265.837
5.786,249.399
5.9175,274.859
6.049,179.548
6.1805,239.516
6.312,336.093
6.4435,592.756
6.575,459.92
6.7065,150.56
6.838,272.422
6.9695,625.845
7.101,693.794
7.2325,404.654
7.364,213.187
7.4955,197.75
7.627,124.549
7.7585,102.827
7.89,96.974
8.0215,105.081
8.153,141.614
8.2845,132.808
8.416,164.775
8.5475,183.009
8.679,118.438
8.8105,243.634
8.942,309.012
9.0735,250.841
9.205,247.745
9.3365,366.463
9.468,265.394
9.5995,231.203
9.731,417.635
9.8625,481.992
9.994,337.476
10.1255,238.702
10.257,204.792
10.3885,135.708
10.52,182.109
10.6515,162.387
10.783,201.226
10.9145,295.961
11.046,157.583
11.1775,268.365
11.309,298.977
11.4405,250.651
11.572,182.128
11.7035,83.328
11.835,96.602
11.9665,194.164
12.098,147.496
12.2295,285.902
12.361,406.539
12.4925,426.948
12.624,508.035
12.7555,501.607
12.887,494.765
13.0185,307.812
13.15,223.688
13.2815,327.891
13.413,148.198
13.5445,248.466
13.676,155.018
13.8075,245.642
13.939,75.519
14.0705,163.548
14.202,124.527
14.3335,148.742
14.465,129.143
14.5965,159.646
14.728,41.569
14.8595,109.285
14.991,311.413
15.1225,221.826
15.254,165.913
15.3855,255.297
15.517,79.168
15.6485,178.852
15.78,245.486
15.9115,51.016
16.043,283.209
16.1745,163.865
16.306,193.439
16.4375,145.427
16.569,151.392
16.7005,216.428
16.832,264.021
16.9635,243.122
17.095,247.128
17.2265,465.839
17.358,273.982
17.4895,222.322
17.621,649.886
17.7525,678.053
17.884,268.274
18.0155,572.976
18.147,420.402
18.2785,408.508
18.41,571.443
18.5415,356.381
18.673,480.547
18.8045,373.666
18.936,203.045
19.0675,194.435
19.199,155.024
19.3305,164.593
19.462,195.278
19.5935,268.48
19.725,166.499
19.8565,110.999
19.988,92.824
20.1195,378.155
20.251,338.464
20.3825,270.038
20.514,287.137
20.6455,219.996
20.777,226.596
20.9085,210.688
21.04,179.315
21.1715,256.541
21.303,282.909
21.4345,648.53
21.566,366.826
21.6975,383.98
21.829,243.466
21.9605,373.765
22.092,257.283
22.2235,168.362
22.355,166.5
22.4865,348.496
22.618,463.263
22.7495,478.466
22.881,459.907
23.0125,200.489
23.144,160.622
23.2755,220.974
23.407,233.538
23.5385,409.41
23.67,451.718
23.8015,264.917
23.933,247.737
24.0645,348.235
24.196,263.106
24.3275,318.13
24.459,211.282
24.5905,373.112
24.722,224.131
24.8535,381.977
24.985,186.978
25.1165,277.591
25.248,232.719
25.3795,269.38
25.511,138.126
25.6425,180.403
25.774,153.976
25.9055,396.324
26.037,320.575
26.1685,243.691
26.3,158.228
26.4315,378.306
26.563,342.73
26.6945,371.15
26.826,307.594
26.9575,257.305
27.089,125.382
27.2205,291.834
27.352,137.987
27.4835,241.251
27.615,114.558
27.7465,199.463
27.878,353.452
28.0095,346.379
28.141,707.048
28.2725,680.216
28.404,454.451
28.5355,505.566
28.667,475.6
28.7985,794.144
28.93,960.561
29.0615,929.999
29.193,771.345
29.3245,474.55
29.456,339.868
29.5875,260.918
29.719,278.467
29.8505,262.095
29.982,180.93
30.1135,133.997
30.245,297.256
30.3765,370.034
30.508,264.168
30.6395,210.038
30.771,371.538
30.9025,447.35
31.034,427.419
31.1655,419.067
31.297,169.3
31.4285,328.206
31.56,514.578
31.6915,348.755
31.823,335.965
31.9545,329.304
32.086,340.365
32.2175,441.303
32.349,353
32.4805,249.535
32.612,199.187
32.7435,133.489
32.875,470.707
33.0065,589.569
33.138,378.06
33.2695,332.033
33.401,256.955
33.5325,344.972
33.664,499.031
33.7955,1325.875
33.927,1385.643
34.0585,918.393
34.19,553.946
34.3215,217.583
34.453,287.624
34.5845,340.766
34.716,247
34.8475,453.524
34.979,441.744
35.1105,329.845
35.242,264.295
35.3735,363.738
35.505,176.792
35.6365,183.353
35.768,303.939
35.8995,174.633
36.031,352.266
36.1625,729.17
36.294,869.31
36.4255,897.83
36.557,912.659
36.6885,1076.187
36.82,742.219
36.9515,539.594
37.083,710.496
37.2145,464.025
37.346,545.974
37.4775,233.995
37.609,188.013
37.7405,150.781
37.872,309.672
38.0035,287.298
38.135,241.403
38.2665,462.151
38.398,247.673
38.5295,109.38
38.661,394.244
38.7925,498.041
38.924,704.362
39.0555,539.552
39.187,327.982
39.3185,340.597
39.45,304.802
39.5815,231.496
39.713,349.437
39.8445,351.829
39.976,545.361
40.1075,623.887
40.239,350.235
40.3705,422.224
40.502,391.917
40.6335,284.072
40.765,271.871
40.8965,264.728
41.028,253.92
41.1595,354.517
41.291,318.712
41.4225,201.192
41.554,184.379
41.6855,255.784
41.817,617.865
41.9485,420.331
42.08,413.921
42.2115,304.305
42.343,377.865
42.4745,316.919
42.606,352.892
42.7375,565.291
42.869,932.371
43.0005,1715.147
43.132,1311.31
43.2635,922.461
43.395,504.718
43.5265,360.784
43.658,653.759
43.7895,384.152
43.921,426.297
44.0525,229.693
44.184,159.287
44.3155,375.185
44.447,1498.486
44.5785,3202.946
44.71,3594.511
44.8415,1993.128
44.973,879.608
45.1045,380.271
45.236,244.709
45.3675,291.628
45.499,242.756
45.6305,369.848
45.762,492.387
45.8935,617.397
46.025,662.751
46.1565,491.824
46.288,409
46.4195,282.825
46.551,297.201
46.6825,281.957
46.814,202.681
46.9455,249.53
47.077,347.361
47.2085,167.149
47.34,262.382
47.4715,687.673
47.603,1279.895
47.7345,1611.941
47.866,1736.628
47.9975,1097.549
48.129,909.852
48.2605,639.649
48.392,389.904
48.5235,426.178
48.655,278.539
48.7865,295.937
48.918,441.651
49.0495,929.009
49.181,1086.94
49.3125,907.483
49.444,277.504
49.5755,198.532
49.707,225.403
49.8385,313.557
49.97,393.255
50.1015,377.917
50.233,316.11
50.3645,244.518
50.496,363.631
50.6275,266.662
50.759,311.604
50.8905,344.42
51.022,395.053
51.1535,506.819
51.285,846.493
51.4165,1061.271
51.548,800.139
51.6795,452.919
51.811,362.965
51.9425,331.166
52.074,106.929
52.2055,212.226
