Distance,Gray_Value
0,5612.837
0.1315,3088.54
0.263,1731.622
0.3945,1029.787
0.526,655.781
0.6575,698.771
0.789,813.639
0.9205,879.555
1.052,1028.826
1.1835,1020.912
1.315,1089.156
1.4465,952.461
1.578,1102.739
1.7095,1139.231
1.841,1307.687
1.9725,1482.703
2.104,2401.262
2.2355,4247.489
2.367,6790.76
2.4985,10724.922
2.63,14300.733
2.7615,10423.976
2.893,5385.535
3.0245,2921.428
3.156,2673.774
3.2875,4127.692
3.419,6659.298
3.5505,8517.669
3.682,8013.969
3.8135,8321.204
3.945,7180.216
4.0765,8883.944
4.208,9327.281
4.3395,5625.199
4.471,2416.99
4.6025,1280.477
4.734,1021.569
4.8655,810.431
4.997,856.293
5.1285,906.015
5.26,815.159
5.3915,1242.402
5.523,1689.539
5.6545,2455.58
5.786,3352.095
5.9175,3810.109
6.049,3283.774
6.1805,2918.051
6.312,2858.044
6.4435,2203.714
6.575,1751.056
6.7065,1074.055
6.838,949.989
6.9695,1121.28
7.101,1065.784
7.2325,1134.458
7.364,967.589
7.4955,867.697
7.627,1179.569
7.7585,1212.961
7.89,1247.026
8.0215,2036.585
8.153,3087.98
8.2845,3258.082
8.416,3723.495
8.5475,4024.671
8.679,2970.881
8.8105,2516.018
8.942,2889.894
9.0735,2764.412
9.205,3043.674
9.3365,2704.536
9.468,2180.339
9.5995,1615.502
9.731,1916.903
9.8625,2314.811
9.994,2642.629
10.1255,3049.334
10.257,3255.925
10.3885,2660.202
10.52,1652.077
10.6515,1754.6
10.783,1975.975
10.9145,1628.849
11.046,1400.63
11.1775,1506.648
11.309,1742.532
11.4405,1666.547
11.572,1350.517
11.7035,1444.624
11.835,1655.318
11.9665,1898.67
12.098,2446.244
12.2295,2356.026
12.361,2179.033
12.4925,3774.747
12.624,6956.684
12.7555,11682.021
12.887,20616.191
13.0185,29009.65
13.15,31056.332
13.2815,25512.098
13.413,18853.826
13.5445,9591.322
13.676,4620.452
13.8075,1932.818
13.939,1551.648
14.0705,1247.733
14.202,1032.383
14.3335,712.096
14.465,548.019
14.5965,685.34
14.728,817.532
14.8595,744.028
14.991,612.074
15.1225,626.905
15.254,661.271
15.3855,444.195
15.517,423.125
15.6485,773.87
15.78,1322.361
15.9115,2549.498
16.043,3274.325
16.1745,2137.961
16.306,839.11
16.4375,594.042
16.569,607.755
16.7005,537.288
16.832,566.964
16.9635,566.39
17.095,556.757
17.2265,504.22
17.358,536.886
17.4895,460.498
17.621,658.637
17.7525,773.421
17.884,547.574
18.0155,724.888
18.147,1131.801
18.2785,2663.479
18.41,4754.443
18.5415,6256.929
18.673,4668.146
18.8045,2599.802
18.936,1992.423
19.0675,3516.862
19.199,7347.311
19.3305,12652.163
19.462,14904.185
19.5935,15241.015
19.725,11340.565
19.8565,9250.678
19.988,9527.069
20.1195,8251.065
20.251,5508.025
20.3825,3731.145
20.514,2367.156
20.6455,1465.729
20.777,980.828
20.9085,926.361
21.04,1412.659
21.1715,1538.796
21.303,1837.991
21.4345,1495.38
21.566,1872.135
21.6975,1765.201
21.829,1559.917
21.9605,1554.269
22.092,1302.777
22.2235,1240.971
22.355,1713.011
