Distance,Gray_Value
0,2081.533
0.1315,2097.864
0.263,2358.119
0.3945,2345.473
0.526,2222.827
0.6575,1737.182
0.789,1600.184
0.9205,1523.845
1.052,1760.617
1.1835,1911.615
1.315,2068.409
1.4465,2310.369
1.578,3897.053
1.7095,5424.331
1.841,6533.169
1.9725,5108.262
2.104,3665.492
2.2355,3304.364
2.367,2604.856
2.4985,2827.69
2.63,4576.512
2.7615,7737.83
2.893,16238.836
3.0245,21722.818
3.156,17404.137
3.2875,11848.453
3.419,7574.721
3.5505,4372.422
3.682,3252.696
3.8135,3222.373
3.945,2830.677
4.0765,2230.088
4.208,2063.65
4.3395,2166.048
4.471,2176.593
4.6025,2414.36
4.734,3688.995
4.8655,4797.907
4.997,4738.517
5.1285,3387.53
5.26,3443.567
5.3915,2804.698
5.523,1749.302
5.6545,999.884
5.786,1498.933
5.9175,2077.993
6.049,2765.236
6.1805,2585.279
6.312,1931.47
6.4435,2342.629
6.575,3361.136
6.7065,4075.944
6.838,4534.981
6.9695,3275.91
7.101,2354.626
7.2325,2017.29
7.364,2139.561
7.4955,2179.197
7.627,1929.322
7.7585,2180.437
7.89,2026.263
8.0215,1705.745
8.153,1717.702
8.2845,1707.133
8.416,1949.099
8.5475,2455.076
8.679,2367.663
8.8105,2054.776
8.942,1593.458
9.0735,1636.21
9.205,1832.913
9.3365,2423.512
9.468,2566.55
9.5995,2279.22
9.731,2977.834
9.8625,3607.022
9.994,4143.169
10.1255,4887.774
10.257,5677.896
10.3885,6119.818
10.52,6245.729
10.6515,8391.741
10.783,14443.589
10.9145,22476.512
11.046,25316.879
11.1775,17823.805
11.309,7406.313
11.4405,2916.298
11.572,1620.103
11.7035,1217.284
11.835,1155.362
11.9665,1093.297
12.098,927.694
12.2295,983.53
12.361,1390.344
12.4925,1441.582
12.624,1304.906
12.7555,1306.179
12.887,1304.852
13.0185,1171.073
13.15,1856.501
13.2815,1885.104
13.413,2585
13.5445,2410.318
13.676,2513.061
13.8075,2585.94
13.939,2353.924
14.0705,2976.415
14.202,3555.053
14.3335,2865.412
14.465,2284.403
14.5965,2490.75
14.728,3542.896
14.8595,4998
14.991,5282.406
15.1225,4561.783
15.254,3467.814
15.3855,3591.999
15.517,4158.174
15.6485,3234.869
15.78,3073.609
15.9115,3345.991
16.043,4215.896
16.1745,4089.757
16.306,3346.891
16.4375,2413.281
16.569,2320.363
16.7005,2388.047
16.832,1933.169
16.9635,1509.583
17.095,1582.564
17.2265,2398.949
17.358,2504.3
17.4895,1940.384
17.621,1363.102
17.7525,1977.012
17.884,1960.705
18.0155,2651.313
18.147,3671.696
18.2785,5398.221
18.41,4344.5
18.5415,2783.477
18.673,2279.157
18.8045,2375.732
18.936,2324.823
19.0675,2593.059
19.199,2014.579
19.3305,1885.298
19.462,1285.891
19.5935,761.144
19.725,840.756
19.8565,1543.111
19.988,2700.31
20.1195,3420.157
20.251,2501.906
20.3825,1425.974
20.514,793.214
20.6455,407.579
20.777,296.197
20.9085,547.08
21.04,518.487
21.1715,458.674
21.303,733.532
21.4345,1637.563
21.566,2603.426
21.6975,4075.082
21.829,4784.691
21.9605,4881.843
22.092,3262.772
22.2235,1325.819
22.355,1008.59
22.4865,922.646
22.618,811.71
22.7495,792.218
22.881,1071.473
23.0125,1725.489
23.144,2822.379
23.2755,4183.237
23.407,6958.545
23.5385,10498.492
23.67,8857.259
23.8015,5510.998
23.933,2972.084
24.0645,2731.295
24.196,3760.729
24.3275,6017.188
24.459,9633.432
24.5905,9535.123
24.722,6481.745
24.8535,3030.145
24.985,2000.728
25.1165,1891.952
25.248,1611.405
25.3795,973.611
25.511,944.527
25.6425,1957.229
25.774,3012.066
25.9055,4431.182
26.037,4457.006
