Distance,Gray_Value
0,12862.289
0.1315,13730.22
0.263,16742.686
0.3945,16999.977
0.526,15150.605
0.6575,15004.087
0.789,15240.046
0.9205,15829.893
1.052,14553.188
1.1835,16800.158
1.315,21427.691
1.4465,30321.562
1.578,38031.246
1.7095,36291.488
1.841,26739.004
1.9725,20110.158
2.104,16537.752
2.2355,14725.379
2.367,14836.331
2.4985,16465.236
2.63,18207.223
2.7615,20064.539
2.893,19000.754
3.0245,19101.484
3.156,23047.01
3.2875,33966.516
3.419,40349.066
3.5505,34276.227
3.682,24078.527
3.8135,17952.977
3.945,22480.336
4.0765,28280.086
4.208,31285.785
4.3395,28637.123
4.471,25084.926
4.6025,19428.916
4.734,15198.332
4.8655,14422.998
4.997,15908.474
5.1285,19549.646
5.26,22402.791
5.3915,21087.734
5.523,18795.406
5.6545,17085.303
5.786,15262.641
5.9175,15326.306
6.049,15973.195
6.1805,16091.094
6.312,17930.389
6.4435,18589.709
6.575,25127.477
6.7065,41888.816
6.838,51594.945
6.9695,53626.801
7.101,48906.406
7.2325,27424.299
7.364,13082.66
7.4955,9762.746
7.627,8659.799
7.7585,7286.273
7.89,5946.391
8.0215,8222.128
8.153,11992.944
8.2845,14081.018
8.416,14340.135
8.5475,14349.105
8.679,13966.151
8.8105,14285.72
8.942,15837.35
9.0735,18911.967
9.205,20180.488
9.3365,18950.133
9.468,14610.12
9.5995,11076.466
9.731,10856.812
9.8625,10606.885
9.994,12037.989
10.1255,12850.411
10.257,14312.295
10.3885,13922.896
10.52,15444.436
10.6515,18309.211
10.783,19499.137
10.9145,19833.025
11.046,21184.48
11.1775,24217.617
11.309,24055.914
11.4405,19284.139
11.572,16448.877
11.7035,15474.442
11.835,14119.264
11.9665,15704.949
12.098,15908.067
12.2295,17945.891
12.361,23071.717
12.4925,24054.158
12.624,23659.951
12.7555,27415.115
12.887,33621.176
13.0185,37512.508
13.15,35854.578
13.2815,29696.104
13.413,26843.336
13.5445,24683.873
13.676,19199.754
13.8075,15132.307
13.939,15397.419
14.0705,17305.031
14.202,17487.719
14.3335,17402.936
14.465,15988.9
14.5965,14698.027
14.728,11148.393
14.8595,10453.164
14.991,12445.205
15.1225,15094.291
15.254,16036.275
15.3855,17654.24
15.517,18892.115
15.6485,19560.535
15.78,21039.688
15.9115,19259.314
16.043,20320.947
16.1745,21073.875
16.306,21033
16.4375,19607.115
16.569,19804.127
16.7005,20089.158
16.832,21739.389
16.9635,22450.562
17.095,26550.979
17.2265,31609.676
17.358,36786.875
17.4895,39647.715
17.621,34789.344
17.7525,23932.559
17.884,15841.07
18.0155,12663.69
18.147,14388.777
18.2785,17285.447
18.41,18136.645
18.5415,17987.518
18.673,19162.104
18.8045,30021.324
18.936,40888.695
19.0675,34703.664
19.199,18186.814
19.3305,10385.113
19.462,8322.92
19.5935,8614.575
19.725,8582.16
19.8565,8489.529
19.988,7584.268
20.1195,9145.186
20.251,17558.037
20.3825,35007.047
20.514,44433.844
20.6455,42105.043
20.777,28496.541
20.9085,16699.096
21.04,23764.35
21.1715,35144.051
21.303,38513.211
21.4345,27052.863
21.566,13637.523
21.6975,9407.983
21.829,7218.987
21.9605,6793.357
22.092,5907.102
22.2235,6691.745
22.355,8916.87
22.4865,9256.752
22.618,8646.948
22.7495,8439.888
22.881,9189.047
23.0125,11395.999
23.144,15466.921
23.2755,19698.475
23.407,20803.535
23.5385,20412.18
23.67,19417.584
23.8015,23453.473
23.933,29590.43
24.0645,31009.523
24.196,28080.215
24.3275,26490.848
24.459,25880.424
24.5905,23257.961
24.722,22642.328
24.8535,27586.635
24.985,27594.855
25.1165,24765.295
25.248,22185.041
25.3795,21517.48
25.511,25254.623
25.6425,26959.662
25.774,26909.59
25.9055,27513.734
26.037,26434.197
26.1685,30062.383
26.3,41332.258
26.4315,58467.617
26.563,61059.914
26.6945,61780.008
26.826,54629.645
26.9575,37862.863
27.089,20463.146
27.2205,14436.529
27.352,14167.634
27.4835,13130.417
27.615,10941.506
27.7465,11529.654
27.878,13118.752
28.0095,15346.091
28.141,17850.061
28.2725,18168.986
28.404,18766.57
28.5355,19759.816
28.667,21518.314
28.7985,19080.943
28.93,15998.535
29.0615,13363.155
29.193,12389.043
29.3245,10270.908
29.456,8249.598
29.5875,7554.078
