Distance,Gray_Value
0,3134.231
0.1315,2895.434
0.263,2778.468
0.3945,2650.616
0.526,2595.352
0.6575,2868.406
0.789,2215.412
0.9205,2849.293
1.052,3145.763
1.1835,4138.799
1.315,5241.143
1.4465,5070.318
1.578,4506.163
1.7095,2799.369
1.841,2483.922
1.9725,2808.916
2.104,3304.111
2.2355,3232.831
2.367,4400.382
2.4985,4764.014
2.63,4965.917
2.7615,4757.821
2.893,4521.388
3.0245,4820.785
3.156,6150.93
3.2875,9249.825
3.419,10445.054
3.5505,8976.652
3.682,7422.373
3.8135,6576.516
3.945,6910.801
4.0765,7412.268
4.208,8196.353
4.3395,7244.174
4.471,5416.196
4.6025,3050.116
4.734,2211.74
4.8655,1615.367
4.997,1473.285
5.1285,1471.698
5.26,1914.979
5.3915,2938.231
5.523,4826.971
5.6545,9598.764
5.786,16566.998
5.9175,18713.557
6.049,17353.521
6.1805,19938.744
6.312,28435.486
6.4435,34345.363
6.575,30547.418
6.7065,18035.189
6.838,11567.482
6.9695,8926.479
7.101,8474.973
7.2325,8873.236
7.364,8707.176
7.4955,13583.53
7.627,23956.207
7.7585,27527.051
7.89,22889.551
8.0215,18057.816
8.153,16017.698
8.2845,19635.582
8.416,32814.105
8.5475,42529.391
8.679,38329.648
8.8105,26821.354
8.942,14138.181
9.0735,8501.995
9.205,7558.63
9.3365,9290.198
9.468,10735.782
9.5995,11585.736
9.731,12044.816
9.8625,15342.805
9.994,26191.877
10.1255,36985.145
10.257,35557.754
10.3885,19867.787
10.52,10056.288
10.6515,8419.917
10.783,9750.209
10.9145,12152.886
11.046,18773.182
11.1775,23103.213
11.309,18148.533
11.4405,14994.018
11.572,14967.843
11.7035,14545.486
11.835,14789.363
11.9665,15919.812
12.098,15108.859
12.2295,13415.526
12.361,11264.938
12.4925,11149.876
12.624,12006.773
12.7555,12375.482
12.887,11087.663
13.0185,8552.91
13.15,7701.941
13.2815,6208.271
13.413,7491.27
13.5445,8607.216
13.676,8969.242
13.8075,8719.845
13.939,10676.895
14.0705,18551.422
14.202,30273.133
14.3335,44837.141
14.465,47435.309
14.5965,36573.266
14.728,20729.924
14.8595,9914.855
14.991,7171.6
15.1225,6961.236
15.254,7310.177
15.3855,7098.654
15.517,6209.766
15.6485,5137.042
15.78,4706.644
15.9115,4295.988
16.043,3675.939
16.1745,3770.437
16.306,4145.877
16.4375,5027.057
16.569,7568.228
16.7005,12754.116
16.832,19206.537
16.9635,21092.084
17.095,18076.02
17.2265,16201.395
17.358,12350.661
17.4895,9206.72
17.621,5985.646
17.7525,4874.517
17.884,3191.245
18.0155,3134.312
18.147,3043.264
18.2785,2906.633
18.41,2550.666
18.5415,2826.977
18.673,3953.942
18.8045,3977.488
18.936,4086.156
19.0675,3078.755
19.199,3590.302
19.3305,4755.442
19.462,6630.366
19.5935,7566.538
19.725,7446.327
19.8565,6404.069
19.988,6153.096
20.1195,6293.452
20.251,5997.604
20.3825,5599.918
20.514,7685.559
20.6455,8091.872
20.777,8962.303
20.9085,9800.747
21.04,11292.876
21.1715,11016.633
21.303,12154.516
21.4345,12388.747
21.566,10977.493
21.6975,8706.666
21.829,6088.904
21.9605,4285.298
22.092,4574.954
22.2235,5943.351
22.355,6783.208
22.4865,7156.036
22.618,11213.164
22.7495,12089.601
22.881,10871.76
23.0125,9446.203
23.144,8948.606
23.2755,8018.229
23.407,8627.457
23.5385,9779.116
23.67,9683.734
23.8015,8413.916
23.933,8455.508
24.0645,8432.842
24.196,8753.844
24.3275,11085.872
24.459,11232.141
24.5905,10088.767
24.722,7888.2
24.8535,7744.107
24.985,8102.86
25.1165,8676.046
25.248,10604.262
25.3795,16232.54
25.511,24591.48
25.6425,22344.979
25.774,13827.581
25.9055,9268.409
26.037,8149.678
26.1685,5882.515
26.3,4272.686
26.4315,3668.883
26.563,2802.489
26.6945,2582.238
26.826,2762.344
26.9575,3150.203
27.089,3773.434
27.2205,4413.166
27.352,4442.381
27.4835,3799.456
27.615,3063.996
27.7465,2561.911
27.878,2417.86
28.0095,2975.829
28.141,3100.743
28.2725,4236.318
28.404,5757.183
28.5355,6774.609
28.667,8265.58
28.7985,9329.772
28.93,11581.721
29.0615,12956.849
29.193,10899.772
29.3245,8577.82
29.456,6837.431
29.5875,9470.07
29.719,12674.234
29.8505,17651.543
29.982,21949.172
30.1135,23702.951
30.245,26838.135
30.3765,26462.777
30.508,21352.289
30.6395,13150.656
30.771,11562.197
30.9025,12512.341
31.034,12825.404
31.1655,13977.727
31.297,16620.074
31.4285,19219.428
31.56,24395.264
31.6915,26287.43
31.823,22983.062
31.9545,22454.873
32.086,18493.188
32.2175,13973.465
32.349,10821.894
32.4805,8236.919
32.612,6502.117
32.7435,5561.163
32.875,5623.506
33.0065,5595.51
33.138,5941.24
33.2695,5420.111
33.401,6195.181
