Distance,Gray_Value
0,12453.228
0.1315,8400.915
0.263,6067.286
0.3945,4464.378
0.526,5402.816
0.6575,5436.185
0.789,5399.243
0.9205,6202.308
1.052,5515.772
1.1835,4344.348
1.315,3796.514
1.4465,3840.168
1.578,4206.19
1.7095,4322.067
1.841,3947.81
1.9725,5263.693
2.104,8029.977
2.2355,11656.592
2.367,10573.558
2.4985,10039.019
2.63,13493.279
2.7615,16262.584
2.893,12408.224
3.0245,7393.271
3.156,4498.3
3.2875,3615.269
3.419,3635.651
3.5505,4292.145
3.682,4436.508
3.8135,3963.884
3.945,4101.992
4.0765,4648.384
4.208,4648.555
4.3395,4314.239
4.471,3457.459
4.6025,1992.65
4.734,2299.732
4.8655,2721.875
4.997,4022.023
5.1285,6984.282
5.26,12078.037
5.3915,14590.807
5.523,15331.655
5.6545,19117.859
5.786,15665.621
5.9175,7953.993
6.049,5040.222
6.1805,4557.345
6.312,4964.573
6.4435,4840.918
6.575,6010.918
6.7065,8241.965
6.838,8141.685
6.9695,5061.126
7.101,3923.371
7.2325,4039.909
7.364,4837.875
7.4955,5306.375
7.627,5457.743
7.7585,4451.316
7.89,3247.768
8.0215,2951.521
8.153,2821.726
8.2845,2037.673
8.416,2420.136
8.5475,2478.12
8.679,3437.273
8.8105,3760.98
8.942,5012.223
9.0735,5914.616
9.205,5262.189
9.3365,6338.209
9.468,10826.5
9.5995,18143.518
9.731,21781.438
9.8625,18973.908
9.994,15545.309
10.1255,13047.421
10.257,12064.932
10.3885,12421.261
10.52,12376.539
10.6515,11993.545
10.783,11630.62
10.9145,9183.496
11.046,9382.692
11.1775,9478.127
11.309,7101.149
11.4405,5819.54
11.572,5085.97
11.7035,5133.08
11.835,4334.746
11.9665,4151.114
12.098,4160.094
12.2295,4434.113
12.361,6090.474
12.4925,7869.487
12.624,9254.474
12.7555,15319.186
12.887,27289.525
13.0185,35435.004
13.15,35021.191
13.2815,25652.301
13.413,13862.134
13.5445,8105.696
13.676,6379.377
13.8075,5610.249
13.939,6571.83
14.0705,7972.02
14.202,6485.484
14.3335,4875.193
14.465,4378.394
14.5965,4935.445
14.728,6265.665
14.8595,5209.57
14.991,4069.449
15.1225,3303.943
15.254,2923.795
15.3855,2423.907
15.517,1884.675
15.6485,1417.418
15.78,1677.239
15.9115,1488.787
16.043,1842.019
16.1745,2748.215
16.306,3855.587
16.4375,4621.166
16.569,5018.017
16.7005,7407.603
16.832,11792.917
16.9635,17460.943
17.095,22814.494
17.2265,22977.543
17.358,13917.3
17.4895,6280.854
17.621,2740.17
17.7525,1713.872
17.884,1085.616
18.0155,1026.381
18.147,891.114
18.2785,1114.897
18.41,1261.131
18.5415,1317.847
18.673,1334.903
18.8045,1520.961
18.936,1112.039
19.0675,784.771
19.199,999.611
19.3305,854.833
19.462,1557.375
19.5935,1747.693
19.725,1759.534
19.8565,2379.213
19.988,2492.521
20.1195,1750.181
20.251,1625.554
20.3825,1527.82
20.514,2476.034
20.6455,4520.368
20.777,9106.78
20.9085,11616.589
21.04,16671.83
21.1715,18720.166
21.303,14016.513
21.4345,7483.205
21.566,6864.386
21.6975,12649.026
21.829,18934.959
21.9605,17073.021
22.092,10465.969
22.2235,6482.172
22.355,5041.72
22.4865,4541.831
22.618,4178.623
22.7495,3799.904
22.881,3342.056
23.0125,3271.365
23.144,3762.329
23.2755,3602.904
23.407,3245.393
23.5385,3083.934
23.67,4006.421
23.8015,5168.258
23.933,3893.596
24.0645,2431.006
24.196,2396.616
24.3275,2075.953
24.459,2168.499
24.5905,2028.157
24.722,3113.82
24.8535,4031.924
24.985,4243.335
25.1165,3226.876
25.248,3415.166
25.3795,4953.148
25.511,7253.93
25.6425,6075.77
25.774,3353.925
25.9055,1712.666
26.037,2155.608
26.1685,2153.693
26.3,1602.255
26.4315,1097.912
26.563,1161.261
26.6945,991.206
26.826,1363.11
26.9575,1718.738
27.089,1726.63
27.2205,2154.308
27.352,2751.979
27.4835,4899.852
27.615,10467.001
27.7465,14051.281
27.878,12255.89
28.0095,8101.673
28.141,4878.332
28.2725,4662.635
28.404,5198.049
28.5355,4630.637
28.667,4164.244
28.7985,3831.284
28.93,3282.368
29.0615,3153.569
29.193,4110.521
29.3245,4767.314
29.456,5025.361
29.5875,4954.709
29.719,4412.438
29.8505,4142.214
29.982,3524.775
30.1135,3108.776
30.245,3620.33
30.3765,3296.507
30.508,3467.565
30.6395,6277.018
30.771,10375.312
30.9025,10949.182
31.034,7380.542
31.1655,4228.527
31.297,3835.964
31.4285,2904.858
31.56,2269.047
31.6915,1893.43
31.823,2224.328
31.9545,2352.108
32.086,2123.802
32.2175,2075.004
32.349,3485.444
32.4805,6572.11
32.612,10882.932
32.7435,21047.971
32.875,39443.98
33.0065,48538.816
33.138,45331.918
33.2695,29326.213
33.401,13338.664
33.5325,6521.137
33.664,4293.605
33.7955,3725.853
33.927,2726.999
34.0585,2466.484
34.19,3125.093
34.3215,7819.846
34.453,15933.984
34.5845,21679.418
34.716,17429.031
34.8475,11014.404
34.979,8045.848
35.1105,3946.296
35.242,2267.049
35.3735,1427.81
35.505,1181.261
35.6365,1192.519
35.768,1544.149
